cINSEE;cp;Commune;Departement;Region;Statut;altitude;de Moyenne;population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
34192;34250;PALAVAS-LES-FLOTS;HERAULT;LANGUEDOC-ROUSSILLON;Commune simple;0;;6;43.533536456,3.92620839566;"{""type"": ""Polygon"", ""coordinates"": [[[3.907955835862423, 43.51719681385986], [3.898917209064022, 43.52427230319328], [3.899762725777311, 43.54036235431365], [3.906737104096308, 43.54495621510175], [3.933308237587432, 43.53813554783493], [3.9699979340492613, 43.54719871921842], [3.969385502664254, 43.54023076840173], [3.907955835862423, 43.51719681385986]]]}";25335;192;48;3;34;91
59404;59122;LES MOERES;NORD;NORD-PAS-DE-CALAIS;Commune simple;0;;0,8;51.0240965472,2.5473689484;"{""type"": ""Polygon"", ""coordinates"": [[[2.57247611530558, 51.01309504188525], [2.57088464238493, 51.003079930680855], [2.551767838341204, 50.99643837493887], [2.541142113398215, 50.99733267933857], [2.521677318388437, 51.00981685118873], [2.517057938226201, 51.01995221538486], [2.534100658483781, 51.05113875138702], [2.549424479492685, 51.054387625893], [2.566089469584538, 51.04604284573686], [2.575508946336559, 51.01592167336011], [2.57247611530558, 51.01309504188525]]]}";28144;404;31;4;59;31
30003;30220;AIGUES-MORTES;GARD;LANGUEDOC-ROUSSILLON;Chef-lieu canton;1;;8,1;43.5507249635,4.18349802063;"{""type"": ""Polygon"", ""coordinates"": [[[4.237933076244773, 43.49708000270272], [4.213829627392158, 43.4958677591175], [4.200627093427824, 43.49991086368675], [4.180289161214799, 43.5195609254372], [4.175472525262529, 43.53313746730187], [4.162963035730241, 43.54813733683905], [4.140989539435729, 43.5617149963442], [4.109015837399716, 43.568795016919815], [4.08349641227931, 43.588399101586496], [4.074673404651042, 43.588594729275876], [4.083221996424928, 43.59156928319439], [4.099604066734226, 43.585258760971584], [4.122722743452669, 43.58878362013597], [4.150215691493673, 43.58556246815687], [4.17944966309684, 43.58528495905818], [4.207849482202679, 43.588905256565006], [4.224335657185322, 43.559700335929065], [4.228870831888933, 43.53513746270656], [4.244232817649848, 43.501461983511845], [4.237933076244773, 43.49708000270272]]]}";33045;3;1;2;30;91
17265;17600;NIEULLE-SUR-SEUDRE;CHARENTE-MARITIME;POITOU-CHARENTES;Commune simple;1;;1,1;45.7567012734,-1.02839049392;"{""type"": ""Polygon"", ""coordinates"": [[[-0.9791368857934891, 45.750403505435365], [-0.99645506710835, 45.738240650409075], [-1.021310460542584, 45.740061237398706], [-1.029898701125125, 45.743757770650134], [-1.047627283743717, 45.7380729602757], [-1.069394358077783, 45.753176545799846], [-1.07720301707851, 45.75775441969082], [-1.085846013450623, 45.76122854226097], [-1.067569464844529, 45.7656496058139], [-1.045184028775277, 45.77786129745552], [-1.031154032592386, 45.77525304697152], [-1.023866646063715, 45.77073457467232], [-1.010053003110306, 45.77266040255969], [-0.99397623354502, 45.767181069435495], [-0.9791368857934891, 45.750403505435365]]]}";33800;265;14;2;17;54
66017;66420;LE BARCARES;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;Commune simple;1;;4;42.8127710984,3.02834125149;"{""type"": ""Polygon"", ""coordinates"": [[[3.02592276129874, 42.7714269728531], [3.017589350879813, 42.779341315306006], [3.018428145277068, 42.806999939918256], [3.012576122421839, 42.85236591365924], [3.043498586588881, 42.83815011921808], [3.038608844919333, 42.77957858079173], [3.02592276129874, 42.7714269728531]]]}";15222;17;14;2;66;91
34344;34280;LA GRANDE-MOTTE;HERAULT;LANGUEDOC-ROUSSILLON;Commune simple;1;;8,4;43.5685394142,4.0758328467;"{""type"": ""Polygon"", ""coordinates"": [[[4.101041675406393, 43.554370946408625], [4.067048074462392, 43.5573288519662], [4.037656944290315, 43.556335997437834], [4.034578495407078, 43.56264609028875], [4.053403376089138, 43.57095942014344], [4.074673404651042, 43.588594729275876], [4.08349641227931, 43.588399101586496], [4.109015837399716, 43.568795016919815], [4.101041675406393, 43.554370946408625]]]}";27167;344;19;3;34;91
59588;59229;TETEGHEM;NORD;NORD-PAS-DE-CALAIS;Commune simple;1;;7,1;51.0158652678,2.45278368133;"{""type"": ""Polygon"", ""coordinates"": [[[2.449611606069676, 50.98645123562893], [2.430949882176721, 51.01409230126863], [2.406124694274539, 51.03550286116547], [2.446340835675318, 51.04549904177068], [2.4464204833549132, 51.02938228124663], [2.450468663508678, 51.027292391265064], [2.469184498195868, 51.032709681704], [2.47571316400616, 51.023265907911984], [2.4964952263561733, 51.00731431597049], [2.50585514851179, 51.00390740478015], [2.484938095274262, 51.00171526398816], [2.467678488838501, 50.993965184106266], [2.4624967673277762, 50.9881397299389], [2.449611606069676, 50.98645123562893]]]}";2517;588;25;4;59;31
13096;13460;SAINTES-MARIES-DE-LA-MER;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;1;;2,3;43.50398297,4.46396357194;"{""type"": ""Polygon"", ""coordinates"": [[[4.597237274119403, 43.4059077675374], [4.587253293288828, 43.42606672691845], [4.574863031861071, 43.43708157983502], [4.554050613197669, 43.446479452580476], [4.521260233919706, 43.45393646349636], [4.452622522611105, 43.45543606338463], [4.425085858015896, 43.44878307343515], [4.400671405320971, 43.44735575252582], [4.377368396999496, 43.452576377680195], [4.230283393392478, 43.460185432726384], [4.231604603218983, 43.480928603902896], [4.23935653831777, 43.493734455030356], [4.237933076244773, 43.49708000270272], [4.244232817649848, 43.501461983511845], [4.293263782341427, 43.51435885432678], [4.320893795674907, 43.52763154443286], [4.309186729608223, 43.546283291722226], [4.3185204933263535, 43.557319569146884], [4.322079376683601, 43.55174214070185], [4.315768803319514, 43.546851601201624], [4.317340877057897, 43.54365604663424], [4.332422139808505, 43.53572421844641], [4.348482113162633, 43.54226578302019], [4.353637699047087, 43.547393808241694], [4.372169945109208, 43.54945578268476], [4.389386635971277, 43.56100715086897], [4.408153474301939, 43.561296301687904], [4.414553779089484, 43.56994200406945], [4.406919282611385, 43.57405469453695], [4.42540494654815, 43.5847743800151], [4.448892698774223, 43.5834377057508], [4.464599863829212, 43.56151241405416], [4.477385737330099, 43.5563267650022], [4.491104325462112, 43.558082984769456], [4.507747261335739, 43.57974789502162], [4.534031022021167, 43.57107357147016], [4.553502488045512, 43.57161567706215], [4.576644007704054, 43.5660625827935], [4.614742227247567, 43.571937194175675], [4.61961774465301, 43.572332550637974], [4.623491867116285, 43.57014184986138], [4.6271554399732775, 43.552673352410615], [4.629066694519236, 43.5493869595133], [4.641915090325002, 43.53443465194125], [4.633753259520129, 43.5140669113551], [4.641710762391996, 43.497424638908086], [4.642382309688426, 43.48675077375745], [4.640349315371445, 43.48350596562936], [4.622713652289283, 43.47124505870659], [4.621123363892137, 43.46786734170904], [4.615625782579365, 43.44017977124726], [4.619713341482363, 43.41912538843689], [4.597237274119403, 43.4059077675374]]]}";11759;96;30;2;13;93
29085;29980;ILE-TUDY;FINISTERE;BRETAGNE;Commune simple;1;;0,7;47.8527643575,-4.16160884308;"{""type"": ""Polygon"", ""coordinates"": [[[-4.151311998125817, 47.85483245026179], [-4.162548719098244, 47.84975307164678], [-4.168111803712613, 47.84035709793512], [-4.170355642552601, 47.84007496930552], [-4.166408856904341, 47.8567553905092], [-4.153960287629149, 47.861222338145986], [-4.151311998125817, 47.85483245026179]]]}";16034;85;34;4;29;53
59154;59380;COUDEKERQUE-VILLAGE;NORD;NORD-PAS-DE-CALAIS;Commune simple;1;;1,2;50.9945680467,2.42167016066;"{""type"": ""Polygon"", ""coordinates"": [[[2.435660253147401, 50.97358029850247], [2.423401804020899, 50.974609732085604], [2.391248394846476, 50.998038653430335], [2.3841348328114123, 51.00201320653271], [2.408369249324808, 51.00822034521658], [2.420308297070717, 51.01460853471243], [2.430949882176721, 51.01409230126863], [2.449611606069676, 50.98645123562893], [2.435660253147401, 50.97358029850247]]]}";30185;154;72;4;59;31
